"Date","Subways: Total Estimated Ridership","Subways: % of Comparable Pre-Pandemic Day","Buses: Total Estimated Ridership","Buses: % of Comparable Pre-Pandemic Day","LIRR: Total Estimated Ridership","LIRR: % of Comparable Pre-Pandemic Day","Metro-North: Total Estimated Ridership","Metro-North: % of Comparable Pre-Pandemic Day","Access-A-Ride: Total Scheduled Trips","Access-A-Ride: % of Comparable Pre-Pandemic Day","Bridges and Tunnels: Total Traffic","Bridges and Tunnels: % of Comparable Pre-Pandemic Day","Staten Island Railway: Total Estimated Ridership","Staten Island Railway: % of Comparable Pre-Pandemic Day"
"10/16/2020","1,671,320","29%","974,110","43%","83,798","27%","47,291","16%","20,776","70%","820,105","88%","3,366","19%"
"10/17/2020","1,209,473","36%","778,070","56%","43,768","39%","37,764","25%","11,831","67%","794,519","84%","1,588","35%"
"10/18/2020","896,812","37%","583,350","58%","34,682","38%","30,690","29%","9,998","54%","752,261","89%","1,074","28%"
"10/19/2020","1,719,153","30%","1,105,134","49%","89,186","28%","44,368","15%","20,812","70%","782,238","84%","3,570","20%"
"10/20/2020","1,780,231","31%","1,119,283","50%","86,591","28%","42,741","15%","21,936","74%","790,017","85%","3,859","22%"
"10/21/2020","1,812,949","32%","1,140,385","51%","86,210","27%","44,102","15%","22,959","77%","806,737","87%","3,848","22%"
"10/22/2020","1,825,208","32%","1,140,210","51%","88,686","28%","45,770","16%","22,391","75%","845,063","91%","3,927","22%"
"10/23/2020","1,842,588","32%","1,123,540","50%","89,931","29%","51,765","18%","21,766","73%","881,994","95%","3,680","21%"
"10/24/2020","1,185,612","36%","775,122","56%","43,618","38%","38,673","25%","12,916","73%","805,453","85%","0","0%"
"10/25/2020","885,001","36%","572,347","57%","33,678","37%","28,321","27%","10,074","55%","725,808","86%","0","0%"
"10/26/2020","1,690,651","29%","1,061,566","47%","86,745","28%","43,557","15%","20,817","70%","760,603","82%","3,429","19%"
"10/27/2020","1,815,242","32%","1,143,906","51%","87,401","28%","43,340","15%","21,870","73%","789,371","85%","3,642","20%"
"10/28/2020","1,819,352","32%","1,119,450","50%","86,652","28%","43,289","15%","23,258","78%","801,965","86%","3,676","21%"
"10/29/2020","1,705,072","30%","987,440","44%","81,794","26%","41,157","14%","20,925","70%","776,466","84%","3,539","20%"
"10/30/2020","1,768,018","31%","1,030,639","46%","84,254","27%","47,967","16%","21,243","71%","824,679","89%","3,270","18%"
"10/31/2020","1,174,059","35%","747,636","54%","41,538","37%","34,077","22%","12,816","72%","743,811","79%","20","0%"
"11/01/2020","786,675","31%","510,820","51%","29,495","31%","22,602","22%","10,180","54%","660,914","80%","3","0%"
"11/02/2020","1,747,908","31%","1,072,262","49%","87,198","27%","40,609","14%","21,127","68%","772,129","82%","3,535","21%"
"11/03/2020","1,602,912","28%","1,027,710","47%","82,140","25%","39,749","14%","20,416","65%","720,561","76%","3,184","19%"
"11/04/2020","1,690,489","30%","1,089,354","50%","81,551","25%","38,818","14%","22,174","71%","754,703","80%","3,448","20%"
"11/05/2020","1,793,796","32%","1,130,774","52%","86,987","26%","41,550","15%","22,937","73%","818,991","87%","3,793","22%"
"11/06/2020","1,837,314","33%","1,120,729","51%","89,499","27%","48,138","17%","22,659","73%","858,167","91%","3,546","21%"
"11/07/2020","1,246,321","39%","752,851","57%","46,368","40%","35,870","24%","13,409","79%","790,711","87%","35","1%"
"11/08/2020","927,670","37%","587,220","59%","38,485","41%","27,961","27%","10,474","56%","726,041","88%","846","28%"
"11/09/2020","1,752,614","31%","1,111,203","51%","91,681","28%","42,627","15%","21,444","69%","773,216","82%","3,561","21%"
"11/10/2020","1,836,902","33%","1,151,911","53%","91,532","28%","43,083","15%","23,138","74%","800,964","85%","3,848","23%"
"11/11/2020","1,614,812","64%","969,123","97%","83,306","88%","40,073","38%","20,263","108%","713,639","87%","3,050","99%"
"11/12/2020","1,776,666","32%","1,054,132","48%","86,189","26%","40,381","14%","22,059","71%","779,141","83%","3,546","21%"
"11/13/2020","1,816,693","32%","1,061,680","48%","86,252","26%","45,127","16%","22,054","71%","821,059","87%","3,332","20%"
"11/14/2020","1,215,477","38%","755,951","57%","41,422","36%","31,397","21%","12,928","76%","735,029","81%","14","0%"
"11/15/2020","820,858","33%","528,421","53%","30,948","33%","20,946","20%","9,763","52%","596,389","72%","697","23%"
"11/16/2020","1,741,750","31%","1,079,560","49%","89,463","27%","41,961","15%","21,851","70%","757,987","80%","3,532","21%"
"11/17/2020","1,788,847","32%","1,092,416","50%","86,965","26%","40,078","14%","22,524","72%","764,724","81%","3,584","21%"
"11/18/2020","1,787,688","32%","1,065,597","49%","84,069","26%","39,693","14%","23,390","75%","776,421","82%","3,495","21%"
"11/19/2020","1,757,535","31%","1,056,928","48%","84,662","26%","40,122","14%","21,780","70%","800,461","85%","3,529","21%"
"11/20/2020","1,800,423","32%","1,079,029","49%","87,402","27%","44,683","16%","22,945","73%","843,069","89%","3,473","20%"
"11/21/2020","1,157,957","37%","750,801","57%","39,204","34%","27,716","18%","13,193","78%","742,369","82%","19","1%"
"11/22/2020","817,963","32%","542,124","54%","31,019","33%","20,269","19%","10,694","57%","598,348","73%","92","3%"
"11/23/2020","1,646,525","29%","1,005,225","46%","87,693","27%","40,668","14%","21,297","68%","755,374","80%","3,223","19%"
"11/24/2020","1,735,702","31%","1,068,789","49%","89,805","27%","41,772","15%","22,814","73%","821,449","87%","3,405","20%"
"11/25/2020","1,688,227","30%","1,037,242","47%","93,444","28%","46,209","16%","21,450","69%","853,222","90%","3,166","19%"
"11/26/2020","652,276","26%","444,391","45%","72,572","77%","20,393","20%","12,151","65%","564,192","68%","847","28%"
"11/27/2020","1,263,473","50%","815,993","82%","77,273","82%","25,009","24%","12,395","66%","671,213","81%","2,046","67%"
"11/28/2020","1,032,823","33%","689,580","52%","37,770","33%","24,688","16%","10,808","64%","649,087","71%","1,203","35%"
"11/29/2020","826,974","33%","548,548","55%","32,628","35%","21,898","21%","9,360","50%","631,798","77%","826","27%"
"11/30/2020","1,459,131","26%","849,277","39%","80,033","24%","37,026","13%","19,751","63%","652,663","69%","3,035","18%"
"12/01/2020","1,706,348","32%","1,068,627","53%","73,589","23%","35,225","13%","21,693","74%","752,069","85%","3,432","22%"
"12/02/2020","1,699,968","32%","1,026,056","51%","73,631","23%","35,615","13%","22,712","78%","746,840","84%","3,277","21%"
"12/03/2020","1,736,045","33%","1,070,197","53%","75,093","24%","37,013","13%","22,941","79%","767,310","87%","3,325","21%"
"12/04/2020","1,701,628","32%","1,024,641","51%","72,062","23%","39,228","14%","21,960","75%","775,709","88%","3,121","20%"
"12/05/2020","1,000,240","30%","617,332","49%","33,528","26%","19,727","13%","10,151","59%","572,557","65%","996","20%"
"12/06/2020","878,393","35%","547,330","56%","35,055","33%","19,652","18%","9,904","56%","590,525","74%","885","26%"
"12/07/2020","1,656,627","31%","1,032,813","52%","77,787","25%","36,890","13%","21,424","73%","729,674","82%","3,209","21%"
"12/08/2020","1,540,893","29%","1,034,410","52%","75,033","24%","36,403","13%","22,177","76%","744,112","84%","3,185","20%"
"12/09/2020","1,701,926","32%","1,018,247","51%","74,734","24%","35,917","13%","22,459","77%","749,886","85%","3,233","21%"
"12/10/2020","1,761,336","33%","1,075,970","54%","76,847","24%","37,600","13%","22,845","78%","784,406","89%","3,346","21%"
"12/11/2020","1,786,290","33%","1,064,457","53%","79,717","25%","42,420","15%","22,751","78%","821,871","93%","3,278","21%"
"12/12/2020","1,091,352","33%","703,892","55%","41,791","33%","24,118","15%","12,307","71%","671,668","76%","20","0%"
"12/13/2020","911,439","36%","582,389","60%","39,293","37%","22,669","21%","10,208","57%","659,446","83%","80","2%"
"12/14/2020","1,584,089","30%","955,525","48%","75,008","24%","36,057","13%","21,333","73%","723,908","82%","2,979","19%"
"12/15/2020","1,783,388","33%","1,088,287","54%","78,446","25%","38,322","14%","23,432","80%","819,063","92%","3,353","21%"
"12/16/2020","1,569,079","29%","853,797","43%","68,092","22%","33,572","12%","19,296","66%","625,006","71%","2,899","19%"
"12/17/2020","1,079,818","20%","523,854","26%","21,417","7%","12,527","4%","9,940","34%","297,298","34%","1,613","10%"
"12/18/2020","1,735,664","33%","943,587","47%","74,908","24%","41,287","15%","17,537","60%","736,356","83%","3,063","20%"
"12/19/2020","1,112,827","34%","670,787","53%","41,101","32%","24,217","15%","11,589","67%","651,814","74%","25","1%"
"12/20/2020","821,265","32%","516,593","53%","32,597","31%","18,767","17%","9,585","54%","555,254","70%","736","22%"
"12/21/2020","1,716,035","32%","1,028,489","51%","81,225","26%","39,814","14%","21,647","74%","777,049","88%","3,244","21%"
"12/22/2020","1,760,948","33%","1,046,799","52%","82,001","26%","39,579","14%","22,820","78%","814,975","92%","3,254","21%"
"12/23/2020","1,772,537","33%","1,048,565","52%","84,404","27%","42,100","15%","23,305","80%","864,271","98%","3,201","21%"
"12/24/2020","1,312,480","25%","822,916","41%","75,759","24%","38,899","14%","15,928","55%","760,624","86%","2,176","14%"
"12/25/2020","485,208","19%","314,171","32%","51,348","48%","14,435","13%","8,611","48%","476,547","60%","631","19%"
"12/26/2020","879,170","26%","559,111","44%","36,047","28%","22,076","14%","9,094","53%","593,895","67%","1,014","20%"
"12/27/2020","760,350","30%","474,033","48%","34,432","32%","20,470","19%","9,457","53%","594,862","75%","901","27%"
"12/28/2020","1,510,168","28%","922,336","46%","81,566","26%","41,012","15%","18,820","65%","743,305","84%","3,027","19%"
"12/29/2020","1,555,198","29%","930,711","46%","78,904","25%","39,416","14%","19,717","68%","759,864","86%","3,097","20%"
"12/30/2020","1,582,486","30%","948,194","47%","79,298","25%","40,962","15%","20,922","72%","799,839","90%","2,990","19%"
"12/31/2020","1,274,984","24%","792,993","40%","75,157","24%","39,947","14%","17,167","59%","704,297","79%","2,162","14%"
"01/01/2021","613,692","29%","378,288","41%","28,977","35%","14,988","17%","5,960","44%","445,950","65%","805","29%"
"01/02/2021","988,418","37%","608,686","51%","28,879","30%","23,139","18%","10,450","72%","624,765","82%","1,194","29%"
"01/03/2021","653,187","31%","413,820","45%","20,819","25%","15,546","17%","9,745","72%","496,494","73%","728","27%"
"01/04/2021","1,557,977","30%","964,597","47%","71,078","24%","35,679","13%","20,612","73%","688,045","79%","3,260","20%"
"01/05/2021","1,597,518","31%","990,479","48%","70,424","23%","35,805","13%","21,641","76%","708,610","82%","3,392","21%"
"01/06/2021","1,613,629","31%","996,123","49%","70,289","23%","35,857","13%","22,795","81%","726,679","84%","3,260","20%"
"01/07/2021","1,611,099","31%","989,097","48%","69,695","23%","36,344","14%","21,571","76%","736,609","85%","3,149","19%"
"01/08/2021","1,619,242","31%","982,175","48%","68,649","23%","39,102","15%","21,641","76%","754,548","87%","3,017","18%"
"01/09/2021","990,412","37%","643,475","54%","26,962","28%","22,332","17%","12,023","83%","630,790","83%","806","20%"
"01/10/2021","763,097","36%","501,437","55%","23,751","29%","18,076","20%","9,467","70%","564,543","83%","593","22%"
"01/11/2021","1,568,207","30%","966,517","47%","72,285","24%","36,015","13%","21,089","75%","708,058","81%","3,123","19%"
"01/12/2021","1,640,428","32%","997,279","49%","71,403","24%","36,563","14%","21,623","76%","730,831","84%","3,297","20%"
"01/13/2021","1,641,652","32%","996,646","49%","70,591","23%","36,488","14%","22,720","80%","737,859","85%","3,160","19%"
"01/14/2021","1,647,396","32%","1,017,757","50%","70,937","23%","37,403","14%","21,950","78%","754,071","87%","3,234","20%"
"01/15/2021","1,627,120","32%","981,817","48%","70,180","23%","41,025","15%","21,819","77%","788,779","91%","2,978","18%"
"01/16/2021","991,500","37%","645,625","54%","27,116","28%","22,548","17%","11,654","80%","631,135","83%","1,099","27%"
"01/17/2021","797,654","38%","504,031","55%","24,223","29%","20,269","22%","9,880","73%","580,771","85%","910","33%"
"01/18/2021","1,276,978","61%","766,926","84%","68,674","83%","22,337","25%","14,124","105%","689,251","101%","2,141","78%"
"01/19/2021","1,635,915","32%","1,013,616","50%","72,565","24%","36,885","14%","21,049","74%","736,254","85%","3,328","20%"
"01/20/2021","1,575,075","31%","921,371","45%","67,925","22%","35,263","13%","19,281","68%","712,711","82%","2,963","18%"
"01/21/2021","1,652,842","32%","1,007,042","49%","71,225","24%","37,003","14%","19,925","70%","760,221","87%","3,258","20%"
"01/22/2021","1,672,001","33%","1,018,584","50%","71,317","24%","40,981","15%","20,375","72%","787,474","91%","3,174","19%"
"01/23/2021","997,551","37%","619,673","52%","27,942","29%","22,216","17%","10,536","73%","640,381","84%","1,114","27%"
"01/24/2021","741,139","35%","458,203","50%","23,974","29%","17,881","20%","8,317","62%","560,522","82%","821","30%"
"01/25/2021","1,592,468","31%","978,987","48%","73,131","24%","36,509","14%","19,991","71%","727,393","84%","3,226","20%"
"01/26/2021","1,550,953","30%","911,579","45%","68,237","23%","34,574","13%","18,115","64%","653,068","75%","2,965","18%"
"01/27/2021","1,660,278","32%","1,004,792","49%","70,353","23%","35,635","13%","19,841","70%","740,154","85%","3,098","19%"
"01/28/2021","1,646,806","32%","950,205","46%","70,023","23%","37,015","14%","20,139","71%","768,600","88%","3,208","20%"
"01/29/2021","1,511,680","29%","812,264","40%","65,128","22%","37,760","14%","19,047","67%","780,131","90%","2,646","16%"
"01/30/2021","942,615","35%","566,837","47%","26,642","27%","21,229","16%","10,284","71%","652,550","85%","811","20%"
"01/31/2021","722,853","35%","427,945","47%","23,091","28%","17,531","19%","8,616","64%","573,512","84%","620","23%"
"02/01/2021","583,230","11%","337,228","16%","8,611","3%","12,093","4%","12,202","41%","156,759","18%","954","6%"
"02/02/2021","1,005,985","19%","543,073","25%","22,756","8%","22,258","8%","8,155","28%","311,607","35%","1,517","9%"
"02/03/2021","1,702,598","31%","949,695","44%","69,068","23%","36,347","13%","16,869","57%","656,614","74%","3,057","19%"
"02/04/2021","1,785,833","33%","1,033,791","48%","71,341","24%","37,590","14%","20,328","69%","742,193","84%","3,381","21%"
"02/05/2021","1,741,015","32%","1,001,775","47%","68,866","23%","40,322","15%","20,136","68%","766,091","87%","3,115","19%"
"02/06/2021","1,148,477","40%","715,717","57%","29,248","31%","25,168","19%","12,020","74%","689,415","83%","1,280","30%"
"02/07/2021","652,521","30%","367,095","38%","17,110","22%","14,068","15%","7,115","42%","340,122","45%","736","26%"
"02/08/2021","1,639,753","30%","964,007","45%","70,984","23%","36,921","14%","17,786","60%","701,146","79%","3,075","19%"
"02/09/2021","1,666,467","31%","992,290","46%","69,548","23%","34,582","13%","19,386","66%","682,085","77%","3,123","19%"
"02/10/2021","1,750,121","32%","1,052,021","49%","71,257","24%","36,580","14%","22,169","75%","769,088","87%","3,284","20%"
"02/11/2021","1,714,656","32%","1,005,348","47%","70,196","23%","37,230","14%","20,144","68%","755,367","86%","3,148","19%"
"02/12/2021","1,706,430","31%","965,421","45%","72,130","24%","42,228","16%","20,165","69%","803,912","91%","2,823","17%"
"02/13/2021","1,092,063","38%","656,637","52%","29,284","31%","25,456","19%","11,669","72%","666,722","80%","1,198","28%"
"02/14/2021","858,014","39%","479,319","49%","23,392","30%","20,489","22%","7,835","46%","551,288","73%","863","31%"
"02/15/2021","1,218,593","56%","726,412","74%","65,652","84%","21,792","24%","11,437","68%","641,883","85%","1,764","63%"
"02/16/2021","1,627,528","30%","963,223","45%","72,718","24%","36,234","13%","19,126","65%","726,224","82%","3,211","20%"
"02/17/2021","1,733,160","32%","1,061,711","49%","74,219","25%","39,205","15%","22,336","76%","821,333","93%","3,349","21%"
"02/18/2021","1,381,886","25%","725,951","34%","57,987","19%","31,747","12%","15,843","54%","456,327","52%","2,521","16%"
"02/19/2021","1,566,021","29%","809,308","38%","64,121","21%","38,307","14%","14,172","48%","608,152","69%","2,707","17%"
"02/20/2021","1,110,589","39%","679,240","54%","30,920","33%","25,729","20%","10,578","65%","657,045","79%","1,381","32%"
"02/21/2021","836,095","38%","516,715","53%","25,208","32%","19,844","22%","9,195","55%","605,395","80%","956","34%"
"02/22/2021","1,582,054","29%","927,414","43%","69,741","23%","35,468","13%","19,015","65%","691,608","78%","3,079","19%"
"02/23/2021","1,730,198","32%","1,040,398","48%","73,492","24%","37,505","14%","20,852","71%","759,850","86%","3,406","21%"
"02/24/2021","1,806,306","33%","1,099,351","51%","74,777","25%","39,124","15%","23,223","79%","797,488","90%","3,546","22%"
"02/25/2021","1,798,165","33%","1,069,420","50%","75,030","25%","39,397","15%","22,138","75%","814,611","92%","3,543","22%"
"02/26/2021","1,822,812","34%","1,065,376","50%","76,696","25%","44,410","16%","21,911","74%","851,052","96%","3,359","21%"
"02/27/2021","1,072,932","37%","635,820","50%","28,849","31%","24,256","19%","11,319","70%","681,969","82%","1,324","31%"
"02/28/2021","810,071","37%","491,545","50%","23,778","30%","20,086","22%","8,910","53%","619,960","82%","972","35%"
"03/01/2021","1,696,274","30%","1,020,837","46%","74,430","24%","36,339","13%","20,359","68%","747,909","81%","3,333","21%"
"03/02/2021","1,749,511","31%","1,024,511","46%","75,335","24%","36,611","13%","20,640","69%","763,489","83%","3,472","22%"
"03/03/2021","1,846,431","33%","1,119,137","50%","78,770","25%","39,651","14%","22,823","77%","798,577","87%","3,569","22%"
"03/04/2021","1,808,744","32%","1,078,036","48%","78,642","25%","39,730","14%","21,727","73%","807,284","88%","3,456","22%"
"03/05/2021","1,825,915","33%","1,041,408","46%","79,104","25%","45,027","16%","21,842","73%","846,071","92%","3,270","20%"
"03/06/2021","1,167,884","38%","696,719","52%","37,158","34%","27,276","20%","11,951","71%","728,236","84%","3","0%"
"03/07/2021","894,119","39%","525,930","53%","29,306","34%","21,547","23%","9,843","56%","662,461","82%","58","2%"
"03/08/2021","1,719,586","31%","1,039,763","46%","79,355","25%","39,763","14%","20,685","70%","767,707","83%","3,344","21%"
"03/09/2021","1,834,068","33%","1,101,988","49%","79,269","25%","40,944","15%","22,200","75%","791,512","86%","3,602","23%"
